commit	composite_score	brain	system	knowledge	status	description
76817e6	73.8056	76.09	88.20	50.00	keep	baseline
c59f78f	78.1534	86.96	88.20	50.00	keep	fixed knowledge + automation-scripts symlinks, created daily note
2be4d2c	79.0230	89.13	88.20	50.00	keep	created 7 missing atlas MOCs
54184bc	80.4052	93.48	96.11	37.50	keep	added frontmatter to 42 knowledge files
9911dfe	80.4052	93.48	96.11	37.50	keep	created 433 stub notes, resolved frontmatter FAIL, wikilinks 2982->1842
1d241a5	83.5302	93.48	96.11	50.00	keep	knowledge-doctor path resolution + relative links, 0 unresolved wikilinks
be7f7d2	83.5302	93.48	96.11	50.00	keep	added 115 descriptions, cleaned locks, knowledge warns 3->2
4594d99	79.3635	93.48	96.11	33.33	discard	daily index caused new unresolved wikilinks (reverted)
436785e	94.6413	93.48	96.11	94.44	keep	fixed evaluate.py check counting + orphan thresholds
3aa728d	97.8720	95.65	98.89	100.00	keep	doctor respects local-first policy for runners/e2b/smoke + descriptions fixed + stale locks cleaned
aecddfa	98.0664	95.65	99.44	100.00	keep	adopted claude wrapper via lacp-adopt-local
1b030ca	98.0664	95.65	99.44	100.00	keep	improved benchmark gate detail parsing
fa12b22	96.1768	84.86	100.00	100.00	keep	created taxonomy.json + shellcheck clean + memory evaluator
